sam_address_id,zip_code,latitude,longitude,trashday
167816,02128,42.374927131895205,-71.03356811164556,Tuesday
167991,02128,42.38306451209138,-71.03797006220091,Monday
168013,02128,42.38082847255775,-71.01883006777759,Thursday
168014,02128,42.38085859138671,-71.01799313035671,Thursday
168406,02128,42.38989048590056,-71.00377743737639,Friday
168407,02128,42.39007580713221,-71.00557010398326,Friday
168410,02128,42.36697969869721,-71.0391151966103,Wednesday
168411,02128,42.36686647897175,-71.03876622983324,Wednesday
168412,02128,42.367333244097296,-71.03881313943685,Wednesday
168414,02128,42.36934894803133,-71.03673887039234,Wednesday
168415,02128,42.37150769277555,-71.03404797581808,Wednesday
168449,02128,42.37007637211829,-71.04017249086726,Tuesday
168450,02128,42.37101692134761,-71.03942370418054,Tuesday
168453,02128,42.3715331156638,-71.0384097984203,Tuesday
168454,02128,42.37175718708388,-71.03854445085152,Tuesday
168456,02128,42.37460814758671,-71.03540990218094,Tuesday
168457,02128,42.37546028821196,-71.03428755705602,Tuesday
168458,02128,42.37554718846218,-71.0342433170683,Tuesday
168459,02128,42.37686259392228,-71.0327028002609,Tuesday
168460,02128,42.37727889991689,-71.03212866803702,Tuesday
168620,02128,42.369776113327816,-71.03690852566949,Wednesday
168857,02128,42.37465205815221,-71.03861777842181,Tuesday
168858,02128,42.37430108167201,-71.03861594239639,Tuesday
168860,02128,42.37280512415165,-71.03576846994525,Tuesday
168861,02128,42.37261156108855,-71.0352427022779,Wednesday
168862,02128,42.37160448082098,-71.03385826537178,Wednesday
168863,02128,42.3709373265728,-71.032594218145,Wednesday
168864,02128,42.370141978126846,-71.0319566942483,Wednesday
168865,02128,42.37141558205583,-71.03242986659474,Wednesday
168887,02128,42.379888576199015,-71.03021972148323,Tuesday
168888,02128,42.37889571137642,-71.0295025544042,Tuesday
168889,02128,42.37789344863759,-71.02900174538654,Thursday
168890,02128,42.38063755686401,-71.03066503747142,Monday
168923,02128,42.37668073096725,-71.03850320500577,Tuesday
